content,stemming,label
"Aplikasi nya bagus tp.gk sebagus dlu sekarang rada² ngeleg terus keluar sendiri tp gpp aku tetep suka ko,tp tolong perbaik ki yah oky terimaksih yah atas hiburannya karena bagus jadi aku kasih bintang 5 yah babay","['aplikasi', 'bagus', 'tpgk', 'bagus', 'rada', '', 'ngeleg', 'suka', 'kotp', 'tolong', 'baik', 'oky', 'terimaksih', 'hibur', 'bagus', 'kasih', 'bintang', 'babay']",1.0
Ok,[],1.0
No comen,['comen'],1.0
Bisa menambah persahabatan,"['tambah', 'sahabat']",1.0
Wah apk nya bagus bat,"['aplikasi', 'bagus', 'banget']",1.0
Asu tik tok,[],-1.0
APLk.nya bagus kok suka bgtt,"['aplknya', 'bagus', 'suka', 'banget']",1.0
Bagus skali,"['bagus', 'skali']",1.0
"IM SORRY MY ENGLISH IS SO BAD, BUT IN MY COUNTRY INDONESIA HAVE MANY CADGER, OLD LADY, OLD PEOPLE SUBMARGED FOR DONATION, IM SO PITY FOR HER. PLEASE REPORT THIS TIKTOKERS","['im', 'maaf', 'english', 'bad', 'country', 'indonesia', 'have', 'many', 'cadger', 'old', 'lady', 'old', 'people', 'submarged', 'donation', 'im', 'pity', 'her', 'lapor', 'this', 'tiktokers']",-1.0
Lanjut,[],-1.0
"Akun saya ditangguhkan padahal tidak menyalahi aturan, bukan hanya ditangguhkan tapi perangkat saya juga di tangguhkan sampai saya tidak bisa masuk atau daftar kembali bahkan hanya melihat vidio saja tidak bisa...terimakasih tiktok buat 3tahunnya saatnya uninstall","['akun', 'tangguh', 'salah', 'atur', 'tangguh', 'perangkat', 'tangguh', 'daftar', 'vidio', 'bisaterimakasih', 'tiktok', 'tahun', 'uninstall']",-1.0
Saya kasih bintang 2 karena pas saya. Download tiba tiba disuruh instal lagi,"['kasih', 'bintang', 'pas', 'download', 'suruh', 'instal']",-1.0
🖤🖤🙃🙃🤗,"['', '', '', '', '']",1.0
Seru dan menarik,"['seru', 'tarik']",1.0
Bagus,['bagus'],1.0
Download nya lama kali dan juga banyak bug sesudah di update,"['download', 'bug']",-1.0
Ok,[],1.0
Mantappp,['mantappp'],1.0
kok gabisa liat video yg direpost lagi sih???? aku kan mw kepoin cowoku,"['gabisa', 'video', 'direpost', 'poin', 'cowoku']",-1.0
Tolong saya mau ganti tahun tanggal lahir kok gak bisa ya,"['tolong', 'ganti', 'tanggal', 'lahir']",1.0
Kkak,['kkak'],-1.0
Dah baik,[],1.0
tidak dapat menggunakan fitur terbaru seperti fitur stories,"['fitur', 'baru', 'fitur', 'stories']",-1.0
good,[],1.0
"Developer update fitur kayak di aplikasi sebelah dong,kalo habis bikin story setelah itu story nya bisa di jadiin highlight (sorotan) biar tiktok makin keceee..","['developer', 'fitur', 'aplikasi', 'belah', 'dongkalo', 'habis', 'story', 'story', 'jadi', 'highlight', 'sorot', 'tiktok', 'keceee']",1.0
👍👍👍👍👍,"['', '', '', '', '']",1.0
Sudah saatnya kampanye bintang 1,"['kampanye', 'bintang']",-1.0
Selama ini cari hiburan utk menyalurkan hoby..baru ketemu...TikTok...lah kita utk menyalurkan hoby..cukup di TikTok tak perlu yg lain.,"['cari', 'hibur', 'salur', 'hobybaru', 'ketemutiktoklah', 'salur', 'hobycukup', 'tiktok']",1.0
Ko ga ada logo capcut di tiktok nya mohon di perbaiki,"['logo', 'capcut', 'tiktok', 'baik']",-1.0
Sangat bagus tik tok,['bagus'],1.0
Apk yg sangat bagus,"['aplikasi', 'bagus']",1.0
Wow,[],1.0
"halo min kenapa fitur teratas saya tidak ada min,tolong bantu min jadi saya susah buat cari video nya","['minimal', 'fitur', 'atas', 'mintolong', 'bantu', 'minimal', 'susah', 'cari', 'video']",-1.0
Maraknya pengemis online,"['marak', 'emis', 'online']",-1.0
Buat developer untuk update selanjutnya tiktok kasih fitur mode gelap nya dong,"['developer', 'tiktok', 'kasih', 'fitur', 'mode', 'gelap']",1.0
Sangat bagus,['bagus'],1.0
Odep,['odep'],1.0
Sangat keren,['keren'],1.0
"Bagus sih tapi suka ada filter yang gak lengkap,gak bisa komen follow,yaudah segitu aja","['bagus', 'suka', 'filter', 'lengkapgak', 'komen', 'followyaudah', 'segitu']",1.0
Mantaaap,['mantaaap'],1.0
Makin di update bukan makin bagus makin kyk gini laggg trusssss fiturr ilanggg wihh gg yaaa!!!! Jelek nama tt sekarang 🤬,"['bagus', 'gin', 'laggg', 'trusssss', 'fiturr', 'ilanggg', 'wihh', 'gg', 'jelek', 'nama', '']",-1.0
ini tiktok harus diperbarui😒,"['tiktok', 'baru', '']",-1.0
Yah siapa sih yang ga ngasih bintang lima kw tiktok,"['ngasih', 'bintang', 'palsu', 'tiktok']",1.0
Dengan Bintang 5 Semoga Bermanfaat.,"['bintang', 'moga', 'manfaat']",1.0
Asik,[],1.0
Dikira elit teryata sulit,"['elit', 'teryata', 'sulit']",-1.0
"Recomend banget buat kalian yang pingin eksis di dunia maya atau buat kaum rebahan yang suka gabut, di dalam nya banyak fitur fitur buat shooping,efek vidio,efek suara, search apa yang lagi kalian cari ,, cuman yang saya kurang suka kenapa harus ada fitur shadow ban? Itu membuat viwers saya makin turun","['recomend', 'banget', 'pingin', 'eks', 'dunia', 'maya', 'kaum', 'rebah', 'suka', 'gabut', 'fitur', 'fitur', 'shoopingefek', 'vidioefek', 'suara', 'cari', 'cari', 'suka', 'fitur', 'shadow', 'ban', 'viwers', 'turun']",1.0
Aplikasi bagus semoga bisa berkembang lebik lagi,"['aplikasi', 'bagus', 'moga', 'kembang', 'lebik']",1.0
QwQ w rareopqwa,"['qwq', 'rareopqwa']",1.0
Sempurna,['sempurna'],1.0
Sangat fositif banget,"['fositif', 'banget']",1.0
Keren,['keren'],1.0
"Tolong dong pihak tiktok ini kenapa banyak bangett masalah dari force close terus, terus akun saya gabisa login padahal itu akun yang biasa saya pakai.... tolong dong tanggapannya","['tolong', 'tiktok', 'banget', 'force', 'close', 'akun', 'gabisa', 'login', 'akun', 'pakai', 'tolong', 'tanggap']",-1.0
Knp gk bisa download apk ini,"['knp', 'tidak', 'download', 'aplikasi']",1.0
Sangat bagus buat iseng,"['bagus', 'iseng']",1.0
👍🏻👍🏻👍🏻,"['', '', '', '', '', '']",1.0
Cukup menghibur,['hibur'],1.0
Tik tok ny langsung gak bisa di bukaa,['bukaa'],-1.0
(⁠ ⁠◜⁠‿⁠◝⁠ ⁠)⁠♡ tnks buat 10.0k followers nya,"['', '', '', '', '', '', '', '', '', '', '', 'tnks', 'followers']",-1.0
TIKTOK GUE PAS APLOD VIDIO GAK FYP STUK TERUS DI NOL NAMA TIKTOK GUA FENSPORTUGAL11 GAK TENAR KE DULU MAKIN HARI MAKIN EROR NOTIFIKASI AJA GAK DI BERI TAHU,"['tiktok', 'pas', 'aplod', 'vidio', 'fyp', 'stuk', 'nol', 'nama', 'tiktok', 'gua', 'fensportugal', 'tenar', 'error', 'notifikasi']",-1.0
Baik,[],1.0
Bagus,['bagus'],1.0
Mtp,['mtp'],1.0
Ok mantap,['mantap'],1.0
Sangat menghibur,['hibur'],1.0
App cukup bagus tapi saya belom bisa menginstal nya,"['app', 'bagus', 'menginstal']",1.0
App yang baguss,"['app', 'baguss']",1.0
Maaf kata kata saya yang sebelumnya 🙏🏻,"['maaf', '', '']",1.0
Tambahkan jumlah troli/keranjang belanjaan🙏🙏,"['tambah', 'trolikeranjang', 'belanja', '', '']",1.0
Bagus,['bagus'],1.0
Bagus bangettt tapi di andro kok gk ada suara wulan???????????????,"['bagus', 'banget', 'andro', 'tidak', 'suara', 'wulan']",1.0
Ok,[],1.0
Sangat memuaskan,['muas'],1.0
Klo kalian dowlot ini kalian bakalan nyesel 😡😡,"['dowlot', 'nyesel', '', '']",-1.0
"Menurut gw aplikasi nya gk bagus, setelah update bukan makin bagus tapi malah banyak bug, padahal kuota bagus"" aja, tapi kok ngelag Mulu, sinyal pull, aneh, tolong di perbaiki.","['aplikasi', 'tidak', 'bagus', 'bagus', 'bug', 'kuota', 'bagus', 'lot', 'sinyal', 'pull', 'aneh', 'tolong', 'baik']",-1.0
Aplikasi nya bagus banyak fitur fitur yang bagus,"['aplikasi', 'bagus', 'fitur', 'fitur', 'bagus']",1.0
Sangat 🅑🅐🅖🅤🅢,"['', '', '', '', '']",-1.0
Tarlingdangdutm,['tarlingdangdutm'],-1.0
"Tolong di perbaiki, makin tidak jellas ini 🤔🤔😔","['tolong', 'baik', 'jellas', '', '', '']",-1.0
Bagus,['bagus'],1.0
Tolong tambahkan fitur story ditiktok saya 🙏🙏,"['tolong', 'tambah', 'fitur', 'story', 'ditiktok', '', '']",1.0
KEREN BANGETTT aku bisa dapet banyak temen aku juga bisa buat video di sana,"['keren', 'banget', 'teman', 'video']",1.0
Mengisi kegabutan sy🗿,"['isi', 'kegabutan', '']",1.0
"Bagus banget deh apk nya, dijamin betah seharian scroll vt🤣👍","['bagus', 'banget', 'aplikasi', 'jamin', 'betah', 'hari', 'scroll', 'vt', '', '']",1.0
Omagaaa baaagussssss😁,"['omagaaa', 'baaagussssss', '']",-1.0
Sangat amat bagus,['bagus'],1.0
Sangat membantu,['bantu'],1.0
Rating 4 dulu,['rating'],1.0
Okeh,['okeh'],1.0
Wah tik tok ini sangat menyenangkan sekali,['senang'],1.0
Filter anime nya harus diperbaiki karena banyak sus,"['filter', 'anime', 'baik', 'sus']",1.0
Malas pakai tiktok!!!!!!!!!!!!!! HP sdh update ke android 9 gk bisa lihat postingan & memaksa pakai HP android versi baru!!!!!!!!!!!! Itu palingan orng kaya yng suka main tiktok!!!!!!!!!!!!!,"['malas', 'pakai', 'tiktok', 'hp', 'android', 'tidak', 'postingan', 'paksa', 'pakai', 'hp', 'android', 'versi', 'paling', 'suka', 'main', 'tiktok']",-1.0
Ini kenapa ga bisa di install anjirr apa ny coba yang bermasalah,"['install', 'anjirr', 'coba', 'masalah']",-1.0
Ok,[],1.0
Ok,[],1.0
"sip, ok....",['sip'],1.0
Bagus sekali saya jadi suka dek,"['bagus', 'suka', 'dek']",1.0
Waeee saya suka saya suka,"['waeee', 'suka', 'suka']",1.0
Aplikasih nya bgs bgt,"['aplikasih', 'bagus', 'banget']",1.0
Aplikasinya berbahaya kita bisa terpengaruh oleh fyp yang lewat dari video karena beberapa video adalah flexing (pamer) dan juga saya ingin aplikasi ini harus di hapus sekarang juga,"['aplikasi', 'bahaya', 'pengaruh', 'fyp', 'video', 'video', 'flexing', 'pamer', 'aplikasi', 'hapus']",-1.0
Udah di update kenapa masi blom ada fitur fitur baru nya ya kyaa posting ulang,"['fitur', 'fitur', 'kyaa', 'posting', 'ulang']",0.0
Bagus,['bagus'],1.0
keren abis,"['keren', 'habis']",1.0
Tiktok nya kayk kontoll,"['tiktok', 'kayk', 'kontoll']",1.0
"Sudah disetting tidak tertarik tapi tetap memberikan video yang tidak jelas. Sudah 3 hari di tunggu update fyp dan topiknya tetep sama. Jadi malas make. Edit: Saya sudah uninstall tiktok, lalu saya download lagi dan sudah saya atur topik, di awal awal videonya memang seperti yang diinginkan, tetapi setelah lama scrolling, videonya malah berisi konten random. Saya kecewa. Capek saya ngatur fyp nya. Sekali lagi, saya kecewa.","['disetting', 'tarik', 'video', 'tunggu', 'fyp', 'topik', 'malas', 'pakai', 'edit', 'uninstall', 'tiktok', 'download', 'atur', 'topik', 'video', 'scrolling', 'video', 'isi', 'konten', 'random', 'kecewa', 'capai', 'ngatur', 'fyp', 'kecewa']",-1.0
Banyak hiburan yg bisa di lihat dlm tiktok,"['hibur', 'tiktok']",1.0
Keren,['keren'],1.0
Saya sangat suka,['suka'],1.0
𝔅𝔞𝔤𝔲𝔰 𝔰𝔦𝔥 𝔟𝔞𝔤𝔲𝔰 𝔱𝔞𝔭𝔦 𝔶𝔞𝔫𝔤 𝔟𝔦𝔨𝔦𝔫 𝔨𝔢𝔰𝔢𝔩 𝔦𝔱𝔲 𝔭𝔞𝔰 𝔞𝔨𝔲 𝔲𝔭𝔡𝔞𝔱𝔢 𝔭𝔞𝔡𝔞𝔥𝔞𝔩 𝔰𝔦𝔫𝔶𝔞𝔩 𝔟𝔞𝔤𝔲𝔰 𝔚𝔦-𝔉𝔦 𝔟𝔞𝔤𝔲𝔰 𝔰𝔢𝔪𝔲𝔞𝔫𝔶𝔞 𝔟𝔞𝔤𝔲𝔰 𝔟𝔲𝔨𝔞𝔫𝔫𝔶𝔞 𝔩𝔞𝔫𝔠𝔞𝔯 𝔪𝔞𝔩𝔞𝔥 𝔪𝔞𝔨𝔦𝔫 𝔫𝔤𝔢 𝔩𝔞𝔤,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1.0
Miss,['miss'],1.0
Kanapa min fitur posting ulang yang muncul di profil di hapus padahal itu berguna bangat loh,"['kanapa', 'minimal', 'fitur', 'posting', 'ulang', 'muncul', 'profil', 'hapus', 'guna', 'bangat']",-1.0
Tiktoknya ini saya suka beberapa video yang menarik bisa menghibur orang kolo ketika gabut,"['tiktoknya', 'suka', 'video', 'tarik', 'hibur', 'kolo', 'gabut']",1.0
Bgus,['bgus'],1.0
"Ngelag Mulu, ga peduli seberapa lancar jaringan nya","['lot', 'peduli', 'lancar', 'jaring']",-1.0
Oke,['oke'],1.0
Makin sini makin ngele,['ngele'],-1.0
Kok GK ada suara Wulan di tiktok saya? Gimana cara munculinnya?,"['tidak', 'suara', 'wulan', 'tiktok', 'munculinnya']",-1.0
KOK TIKTOK GAK BISA DI DOWNLOAD SIHHH. MOHON UNTUK DI BENERIN AGAR BISA DI DOWNLOAD,"['tiktok', 'download', 'benerin', 'download']",-1.0
Siip,[],1.0
Kukasih 5 bintang bisa in cara live biar GK lag,"['kasih', 'bintang', 'live', 'tidak', 'lag']",-1.0
😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",-1.0
2kt Paramex 4ls Bodrex 2ls Bodrexin 1kt B.flu 1kt Migra 1kt B. Extra 2kt Ultraflu 1kt Mixagrip 1ls Kamax 1kt Sutra 2ls Gandapura k 6kt Antangin 6kt Tolakangin 10kt Bejo 1kt Napacin 1kt Konidin 1kt Oskadon sp 4pk Ademsari 4ls Slasii 3pk Promag 2kt inzana 1ls Milton mint 1ls 88 1ls Ultrasilin 1kt Mylanta 1ls Antimo 1kt Diapet 10btl Hot cream k cmpur 2ls Freshcare hotyhhhhyh 1ls Afitson 1kt Polysilanehybhhbhh 1kt Hema staminahhhy 3ls Mkp 15ml 3ls Mkp 30mlhhhbhuhb 1ls Mkp 60ml Hhbhyhhhhhhyyhhhhbhhy,"['kt', 'paramex', 'ls', 'bodrex', 'ls', 'bodrexin', 'kt', 'bflu', 'kt', 'migra', 'kt', 'extra', 'kt', 'ultraflu', 'kt', 'mixagrip', 'ls', 'kamax', 'kt', 'sutra', 'ls', 'gandapura', 'kt', 'antangin', 'kt', 'tolakangin', 'kt', 'bejo', 'kt', 'napacin', 'kt', 'konidin', 'kt', 'oskadon', 'sp', 'pk', 'ademsari', 'ls', 'slasii', 'pk', 'promag', 'kt', 'inzana', 'ls', 'milton', 'mint', 'ls', 'ls', 'ultrasilin', 'kt', 'mylanta', 'ls', 'antimo', 'kt', 'diapet', 'btl', 'hot', 'cream', 'cmpur', 'ls', 'freshcare', 'hotyhhhhyh', 'ls', 'afitson', 'kt', 'polysilanehybhhbhh', 'kt', 'hema', 'staminahhhy', 'ls', 'mkp', 'ml', 'ls', 'mkp', 'mlhhhbhuhb', 'ls', 'mkp', 'ml', 'hhbhyhhhhhhyyhhhhbhhy']",0.0
apk yg menghibur diriku,"['aplikasi', 'hibur', 'diri']",1.0
Apk gaje 🙄,"['aplikasi', 'gaje', '']",1.0
Kenapa gak bisa di update dan di vt nya juga sering patah² nglek saya kecewa kepada tiktok :(,"['vt', 'patah', '', 'nglek', 'kecewa', 'tiktok']",-1.0
Enak tapi sering lrmot,['lrmot'],1.0
Top,['top'],1.0
Tik tok mrmang sangat menghibur sya.makasih ya,"['mrmang', 'hibur', 'syamakasih']",-1.0
Sangat cocok,['cocok'],1.0
Bagus,['bagus'],1.0
Semoga jaya,"['moga', 'jaya']",1.0
Ok,[],1.0
🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1.0
Oke,['oke'],0.0
BAGUS BANGET SIH TAPI KASIH BINTANG EMPAT DULU DEH,"['bagus', 'banget', 'kasih', 'bintang']",1.0
Ter slebew,['slebew'],1.0
"Gara gara aplikasi ini, pacar saya jadi menyangka cuman teman","['gara', 'gara', 'aplikasi', 'pacar', 'sangka', 'teman']",-1.0
Kamu nanya,['nanya'],-1.0
Ok,[],1.0
Apk termangap,"['aplikasi', 'mangap']",1.0
good,[],1.0
Bgs,['bagus'],1.0
Apknya gabisa ngeinstal terus.,"['apknya', 'gabisa', 'ngeinstal']",-1.0
Makin jelek,['jelek'],1.0
Bagus🗿,"['bagus', '']",1.0
Ini tiktok gua kenapa fyp nya skrg sampah banget isinya,"['tiktok', 'gua', 'fyp', 'sampah', 'banget', 'isi']",1.0
Lmyn mghibur.,"['lmyn', 'mghibur']",1.0
Bgus,['bgus'],0.0
Siap,[],1.0
Kesel bgt sih akun ku kena band mulu njinggggggf,"['kesal', 'banget', 'akun', 'ku', 'band', 'njinggggggf']",1.0
Rekomendasi Banget Buat Video Pendek dan berita seputar yang lagi viral,"['rekomendasi', 'banget', 'video', 'pendek', 'berita', 'putar', 'viral']",1.0
cukup menghibur,['hibur'],1.0
"Setelah update bukan makin bagus,kuota makin boros nonton 1 vido aja 50 mb ngk masuk akal","['baguskuota', 'boros', 'nonton', 'vido', 'akal']",-1.0
"Tik tok gk jelas udah ajarin ayang ku yg aneh-aneh, dia anak yg baik malah kau ajarin yg sesad""😤 awas kau 😠","['tidak', 'ajarin', 'ayang', 'ku', 'anehaneh', 'anak', 'kau', 'ajarin', 'sad', '', 'awas', 'kau', '']",-1.0
Kualitasnya Bagus mudah di gunakan .mohon lebih di tingkatkan lgi Kualitanya ..oke mantaaap😍😍,"['kualitas', 'bagus', 'mudah', 'tingkat', 'lgi', 'kualitanya', 'oke', 'mantaaap', '', '']",1.0
"Aplikasi tiktok semakin kesini justru semakin berkembang dan menjadi lebih, mudah lebih baik, dan lebih berguna. Saya sangat bangga dan mendukung developer semisalnya akan memperbaiki dan mengupdate kembali supaya lebih mudah dan ada perkembangan yang lain lagi.","['aplikasi', 'tiktok', 'kesini', 'kembang', 'mudah', 'guna', 'bangga', 'dukung', 'developer', 'baik', 'mengupdate', 'mudah', 'kembang']",1.0
Good,[],1.0
gilaaaa semenit udah 200 mb,"['gilaaaa', 'menit']",-1.0
Bagus,['bagus'],1.0
Kese neng aku🥰😍,"['kese', '', '']",1.0
